edge_id,global_i,global_j,block_i,block_j,index_i,index_j,d_contact,d_Q,original_obstruction,split_i,split_j,retained_after_split,post_split_obstruction
502,1013.0,1259.0,8.0,8.0,340.0,586.0,0.35768362879753113,1.2197532653808592,True,0,1,False,False
729,3078.0,3243.0,11.0,11.0,374.0,539.0,0.30036497116088867,1.036659836769104,True,1,0,False,False
730,3078.0,3244.0,11.0,11.0,374.0,540.0,0.3292255103588104,1.0685714483261108,True,1,0,False,False
747,3079.0,3243.0,11.0,11.0,375.0,539.0,0.2755748927593231,1.0615627765655515,True,1,0,False,False
748,3079.0,3244.0,11.0,11.0,375.0,540.0,0.30363067984580994,1.09346342086792,True,1,0,False,False
749,3079.0,3245.0,11.0,11.0,375.0,541.0,0.3337981104850769,1.1249303817749023,True,1,0,False,False
765,3080.0,3242.0,11.0,11.0,376.0,538.0,0.24098627269268036,1.0440374612808228,True,1,0,False,False
766,3080.0,3243.0,11.0,11.0,376.0,539.0,0.26360476016998285,1.0755156278610227,True,1,0,False,False
767,3080.0,3244.0,11.0,11.0,376.0,540.0,0.2905641794204712,1.1075434684753416,True,1,0,False,False
768,3080.0,3245.0,11.0,11.0,376.0,541.0,0.3201592266559601,1.1392894983291624,True,1,0,False,False
769,3080.0,3246.0,11.0,11.0,376.0,542.0,0.3508917093276977,1.1698042154312132,True,1,0,False,False
784,3081.0,3242.0,11.0,11.0,377.0,538.0,0.24122656881809235,1.050090193748474,True,1,0,False,False
785,3081.0,3243.0,11.0,11.0,377.0,539.0,0.26204708218574524,1.0816885232925415,True,1,0,False,False
786,3081.0,3244.0,11.0,11.0,377.0,540.0,0.28779393434524536,1.11391544342041,True,1,0,False,False
787,3081.0,3245.0,11.0,11.0,377.0,541.0,0.3166457116603852,1.1459664106369019,True,1,0,False,False
788,3081.0,3246.0,11.0,11.0,377.0,542.0,0.346854031085968,1.1769614219665527,True,1,0,False,False
803,3082.0,3242.0,11.0,11.0,378.0,538.0,0.24742555618286127,1.0511709451675415,True,1,0,False,False
804,3082.0,3243.0,11.0,11.0,378.0,539.0,0.2669215202331543,1.0828384160995483,True,1,0,False,False
805,3082.0,3244.0,11.0,11.0,378.0,540.0,0.29154545068740845,1.1152487993240356,True,1,0,False,False
806,3082.0,3245.0,11.0,11.0,378.0,541.0,0.31954309344291687,1.147584080696106,True,1,0,False,False
807,3082.0,3246.0,11.0,11.0,378.0,542.0,0.3490746319293976,1.1789911985397339,True,1,0,False,False
822,3083.0,3242.0,11.0,11.0,379.0,538.0,0.2557585835456848,1.0489306449890137,True,1,0,False,False
823,3083.0,3243.0,11.0,11.0,379.0,539.0,0.2744041681289673,1.0805084705352783,True,1,0,False,False
824,3083.0,3244.0,11.0,11.0,379.0,540.0,0.2980448007583618,1.1129727363586424,True,1,0,False,False
825,3083.0,3245.0,11.0,11.0,379.0,541.0,0.3250846266746521,1.145490288734436,True,1,0,False,False
826,3083.0,3246.0,11.0,11.0,379.0,542.0,0.3537364602088928,1.1772096157073975,True,1,0,False,False
841,3084.0,3242.0,11.0,11.0,380.0,538.0,0.2637026906013489,1.0437569618225095,True,1,0,False,False
842,3084.0,3243.0,11.0,11.0,380.0,539.0,0.2817447483539581,1.075023889541626,True,1,0,False,False
843,3084.0,3244.0,11.0,11.0,380.0,540.0,0.30445855855941767,1.1072971820831299,True,1,0,False,False
844,3084.0,3245.0,11.0,11.0,380.0,541.0,0.3303988873958588,1.139780044555664,True,1,0,False,False
845,3084.0,3246.0,11.0,11.0,380.0,542.0,0.3579081892967224,1.1716419458389282,True,1,0,False,False
861,3085.0,3243.0,11.0,11.0,381.0,539.0,0.2873722016811371,1.065907835960388,True,1,0,False,False
862,3085.0,3244.0,11.0,11.0,381.0,540.0,0.3090958893299103,1.0976781845092771,True,1,0,False,False
863,3085.0,3245.0,11.0,11.0,381.0,541.0,0.33376091718673706,1.129796266555786,True,1,0,False,False
878,3086.0,3243.0,11.0,11.0,382.0,539.0,0.2906007766723633,1.0527138710021973,True,1,0,False,False
879,3086.0,3244.0,11.0,11.0,382.0,540.0,0.31115302443504333,1.0837045907974243,True,1,0,False,False
880,3086.0,3245.0,11.0,11.0,382.0,541.0,0.33434757590293884,1.1150711774826048,True,1,0,False,False
881,3086.0,3246.0,11.0,11.0,382.0,542.0,0.35873529314994806,1.1462948322296143,True,1,0,False,False
896,3087.0,3243.0,11.0,11.0,383.0,539.0,0.29123523831367487,1.0358474254608154,True,1,0,False,False
897,3087.0,3244.0,11.0,11.0,383.0,540.0,0.3103126883506775,1.0659505128860471,True,1,0,False,False
898,3087.0,3245.0,11.0,11.0,383.0,541.0,0.3318167626857757,1.0962358713150024,True,1,0,False,False
899,3087.0,3246.0,11.0,11.0,383.0,542.0,0.3542981743812561,1.1265227794647217,True,1,0,False,False
914,3088.0,3244.0,11.0,11.0,384.0,540.0,0.3065509498119354,1.0459314584732056,True,1,0,False,False
915,3088.0,3245.0,11.0,11.0,384.0,541.0,0.3260829746723175,1.0750112533569336,True,1,0,False,False
916,3088.0,3246.0,11.0,11.0,384.0,542.0,0.3464750349521637,1.104000449180603,True,1,0,False,False
