edge_id,global_i,global_j,block_i,block_j,index_i,index_j,cell_i,cell_j,d_Cplus,d_Q,original_obstruction,split_i,split_j,retained_after_split,post_split_obstruction
8,677.0,1076.0,2.0,2.0,4.0,403.0,3.0,3.0,0.34043940901756287,1.249151587486267,True,1,0,False,False
9,677.0,1077.0,2.0,2.0,4.0,404.0,3.0,3.0,0.32811060547828674,1.247043490409851,True,1,0,False,False
10,677.0,1078.0,2.0,2.0,4.0,405.0,3.0,3.0,0.3260815441608429,1.245335578918457,True,1,0,False,False
11,677.0,1079.0,2.0,2.0,4.0,406.0,3.0,3.0,0.3338184952735901,1.2453852891921997,True,1,0,False,False
12,677.0,1080.0,2.0,2.0,4.0,407.0,3.0,3.0,0.3487600088119507,1.2474570274353027,True,1,0,False,False
14,678.0,1075.0,2.0,2.0,5.0,402.0,3.0,3.0,0.35344985127449036,1.2341518402099607,True,1,0,False,False
15,678.0,1076.0,2.0,2.0,5.0,403.0,3.0,3.0,0.3346029222011566,1.2334325313568115,True,1,0,False,False
16,678.0,1077.0,2.0,2.0,5.0,404.0,3.0,3.0,0.32373809814453125,1.2314823865890503,True,1,0,False,False
17,678.0,1078.0,2.0,2.0,5.0,405.0,3.0,3.0,0.32288733124732966,1.2297934293746948,True,1,0,False,False
18,678.0,1079.0,2.0,2.0,5.0,406.0,3.0,3.0,0.3314152657985687,1.229814529418945,True,1,0,False,False
19,678.0,1080.0,2.0,2.0,5.0,407.0,3.0,3.0,0.34670230746269226,1.2319276332855225,True,1,0,False,False
23,679.0,1075.0,2.0,2.0,6.0,402.0,3.0,3.0,0.3495895564556122,1.2150423526763916,True,1,0,False,False
24,679.0,1076.0,2.0,2.0,6.0,403.0,3.0,3.0,0.3323432207107544,1.2146714925765991,True,1,0,False,False
25,679.0,1077.0,2.0,2.0,6.0,404.0,3.0,3.0,0.3228093683719635,1.2129889726638792,True,1,0,False,False
26,679.0,1078.0,2.0,2.0,6.0,405.0,3.0,3.0,0.3229721188545227,1.2114566564559937,True,1,0,False,False
27,679.0,1079.0,2.0,2.0,6.0,406.0,3.0,3.0,0.3321478068828583,1.2115570306777954,True,1,0,False,False
28,679.0,1080.0,2.0,2.0,6.0,407.0,3.0,3.0,0.34770798683166504,1.213751196861267,True,1,0,False,False
33,680.0,1075.0,2.0,2.0,7.0,402.0,3.0,3.0,0.3492838144302368,1.192559003829956,True,1,0,False,False
34,680.0,1076.0,2.0,2.0,7.0,403.0,3.0,3.0,0.3332518935203552,1.1925052404403687,True,1,0,False,False
35,680.0,1077.0,2.0,2.0,7.0,404.0,3.0,3.0,0.32457417249679565,1.191138744354248,True,1,0,False,False
36,680.0,1078.0,2.0,2.0,7.0,405.0,3.0,3.0,0.3252515196800232,1.189894676208496,True,1,0,False,False
37,680.0,1079.0,2.0,2.0,7.0,406.0,3.0,3.0,0.3346504867076874,1.1902421712875366,True,1,0,False,False
38,680.0,1080.0,2.0,2.0,7.0,407.0,3.0,3.0,0.3502110540866852,1.1926480531692505,True,1,0,False,False
43,681.0,1075.0,2.0,2.0,8.0,402.0,3.0,3.0,0.351927787065506,1.166884422302246,True,1,0,False,False
44,681.0,1076.0,2.0,2.0,8.0,403.0,3.0,3.0,0.33652183413505554,1.167076587677002,True,1,0,False,False
45,681.0,1077.0,2.0,2.0,8.0,404.0,3.0,3.0,0.3280147910118103,1.1659828424453735,True,1,0,False,False
46,681.0,1078.0,2.0,2.0,8.0,405.0,3.0,3.0,0.3284984230995178,1.1650614738464355,True,1,0,False,False
47,681.0,1079.0,2.0,2.0,8.0,406.0,3.0,3.0,0.3375022113323212,1.1657826900482176,True,1,0,False,False
48,681.0,1080.0,2.0,2.0,8.0,407.0,3.0,3.0,0.3526236414909363,1.1685783863067627,True,1,0,False,False
53,682.0,1075.0,2.0,2.0,9.0,402.0,3.0,3.0,0.3568796217441559,1.1387017965316772,True,1,0,False,False
54,682.0,1076.0,2.0,2.0,9.0,403.0,3.0,3.0,0.34148833155632013,1.1390961408615112,True,1,0,False,False
55,682.0,1077.0,2.0,2.0,9.0,404.0,3.0,3.0,0.33243510127067566,1.1381869316101074,True,1,0,False,False
56,682.0,1078.0,2.0,2.0,9.0,405.0,3.0,3.0,0.3319540619850158,1.1375141143798828,True,1,0,False,False
57,682.0,1079.0,2.0,2.0,9.0,406.0,3.0,3.0,0.3398401737213135,1.1386194229125977,True,1,0,False,False
58,682.0,1080.0,2.0,2.0,9.0,407.0,3.0,3.0,0.3539451062679291,1.141931414604187,True,1,0,False,False
63,683.0,1076.0,2.0,2.0,10.0,403.0,3.0,3.0,0.34779006242752075,1.1094070672988892,True,1,0,False,False
64,683.0,1077.0,2.0,2.0,10.0,404.0,3.0,3.0,0.33763638138771057,1.108634114265442,True,1,0,False,False
65,683.0,1078.0,2.0,2.0,10.0,405.0,3.0,3.0,0.335526704788208,1.10810649394989,True,1,0,False,False
66,683.0,1079.0,2.0,2.0,10.0,406.0,3.0,3.0,0.3415886461734772,1.1095037460327148,True,1,0,False,False
67,683.0,1080.0,2.0,2.0,10.0,407.0,3.0,3.0,0.3540247976779938,1.1133310794830322,True,1,0,False,False
72,684.0,1076.0,2.0,2.0,11.0,403.0,3.0,3.0,0.35519737005233765,1.0781000852584839,True,1,0,False,False
73,684.0,1077.0,2.0,2.0,11.0,404.0,3.0,3.0,0.3437108099460602,1.0775060653686523,True,1,0,False,False
74,684.0,1078.0,2.0,2.0,11.0,405.0,3.0,3.0,0.3395911157131195,1.07708740234375,True,1,0,False,False
75,684.0,1079.0,2.0,2.0,11.0,406.0,3.0,3.0,0.3433027267456054,1.078674077987671,True,1,0,False,False
76,684.0,1080.0,2.0,2.0,11.0,407.0,3.0,3.0,0.35347139835357666,1.082909345626831,True,1,0,False,False
82,685.0,1077.0,2.0,2.0,12.0,404.0,3.0,3.0,0.3507111966609955,1.0443018674850464,True,1,0,False,False
83,685.0,1078.0,2.0,2.0,12.0,405.0,3.0,3.0,0.3446052372455597,1.0440577268600464,True,1,0,False,False
84,685.0,1079.0,2.0,2.0,12.0,406.0,3.0,3.0,0.34579023718833923,1.0458102226257324,True,1,0,False,False
85,685.0,1080.0,2.0,2.0,12.0,407.0,3.0,3.0,0.3533265292644501,1.0503413677215576,True,1,0,False,False
