node_id,q_000,q_001,q_002,q_003,q_004,q_005,q_006,q_007,q_008,q_009,q_010,q_011,q_012,q_013,q_014,q_015,q_016,q_017,q_018,q_019,q_020,q_021,q_022,q_023,q_024,q_025,q_026,q_027,q_028,q_029,q_030,q_031,q_032,q_033,q_034,q_035,q_036,q_037,q_038,q_039
0,-1.592082142829895,-0.7945311665534973,-1.4789817333221436,-0.7241411209106445,-1.3703981637954712,-0.652924656867981,-1.264967918395996,-0.5818624496459961,-1.1572918891906738,-0.5069013833999634,-1.0440747737884521,-0.42535051703453064,-0.9283183813095093,-0.3402252197265625,-0.8191007971763611,-0.26004788279533386,-0.7276747226715088,-0.1951560527086258,-0.6626806259155273,-0.15328653156757355,-0.6273003816604614,-0.1369786560535431,-0.6196454763412476,-0.1439453363418579,-0.6353433728218079,-0.16953299939632416,-0.6696348190307617,-0.2088659554719925,-0.7171538472175598,-0.2569027245044708,-0.7705653309822083,-0.3072621524333954,-0.8209740519523621,-0.35238710045814514,-0.8609833717346191,-0.3860154151916504,-0.8877971768379211,-0.40584731101989746,-0.9033352732658386,-0.4137391746044159
1,-1.4877747297286987,-0.7253151535987854,-1.3783328533172607,-0.653975248336792,-1.2721046209335327,-0.5827799439430237,-1.1636310815811157,-0.5076673030853271,-1.0496236085891724,-0.42595773935317993,-0.9331655502319336,-0.3406963348388672,-0.8234044909477234,-0.26042473316192627,-0.7315857410430908,-0.19546879827976227,-0.6662802696228027,-0.15353046357631683,-0.6305921673774719,-0.1371127814054489,-0.6225908994674683,-0.1439109742641449,-0.6379130482673645,-0.16928258538246155,-0.6718387007713318,-0.20838460326194763,-0.7190391421318054,-0.2562129497528076,-0.7722024917602539,-0.30641841888427734,-0.8224483728408813,-0.35146552324295044,-0.8623821139335632,-0.3850947916507721,-0.8891834020614624,-0.40498417615890503,-0.9047272205352783,-0.4129532277584076,-0.9128558039665222,-0.4126560091972351
2,-1.3866785764694214,-0.6551053524017334,-1.2796217203140259,-0.5837885737419128,-1.1703556776046753,-0.5085428953170776,-1.0555464029312134,-0.42668214440345764,-0.9383096098899841,-0.3412659764289856,-0.8278894424438477,-0.26086607575416565,-0.7355995774269104,-0.19582508504390717,-0.6699939966201782,-0.15383173525333405,-0.6340925693511963,-0.13735319674015045,-0.6258691549301147,-0.14404591917991638,-0.6409050822257996,-0.16924749314785004,-0.6744871139526367,-0.20812658965587616,-0.7213302254676819,-0.2557152509689331,-0.7741659879684448,-0.30570659041404724,-0.8241452574729919,-0.35060060024261475,-0.8638964891433716,-0.38415855169296265,-0.8906064033508301,-0.404056578874588,-0.9061270356178284,-0.41208821535110474,-0.9142549633979797,-0.4118702709674835,-0.9179447293281555,-0.4063645005226135
3,-1.2875288724899292,-0.5848748087882996,-1.1774405241012573,-0.5095071792602539,-1.0618314743041992,-0.427511990070343,-0.9438019394874573,-0.34194689989089966,-0.832649290561676,-0.26140034198760986,-0.739781379699707,-0.1962423324584961,-0.6738037467002869,-0.15417474508285522,-0.6377028226852417,-0.1376499980688095,-0.6293549537658691,-0.1442878395318985,-0.6442359089851379,-0.1693854182958603,-0.67757248878479,-0.2080903798341751,-0.7240854501724243,-0.25544795393943787,-0.7765543460845947,-0.3051917850971222,-0.8261825442314148,-0.34986910223960876,-0.865641176700592,-0.383277952671051,-0.8921481370925903,-0.4031118154525757,-0.9075645804405212,-0.4111579656600952,-0.9156623482704163,-0.41100552678108215,-0.9193477034568787,-0.4055798351764679,-0.9199655055999756,-0.3964252769947052
4,-1.1848936080932617,-0.5105469822883606,-1.0684552192687988,-0.4284278154373169,-0.9496326446533203,-0.3427289128303528,-0.8377330303192139,-0.26204025745391846,-0.7442196607589722,-0.19674792885780334,-0.6777721643447876,-0.15457648038864136,-0.6414057016372681,-0.13798785209655762,-0.6329500079154968,-0.14458654820919037,-0.6477785110473633,-0.16963285207748413,-0.6810087561607361,-0.2082328498363495,-0.727297306060791,-0.255410373210907,-0.7794287800788879,-0.30491480231285095,-0.828662633895874,-0.34933900833129883,-0.8677374124526978,-0.38253188133239746,-0.8939253687858582,-0.4022221267223358,-0.9091227054595947,-0.4102100431919098,-0.9171080589294434,-0.41007569432258606,-0.9207591414451599,-0.4047167897224426,-0.9213700294494629,-0.39564234018325806,-0.9197724461555481,-0.3839127719402313
5,-1.075424075126648,-0.4294169247150421,-0.9557796716690063,-0.3435940742492676,-0.8431324362754822,-0.2627771496772766,-0.7489613890647888,-0.19735465943813324,-0.6819841861724854,-0.15506358444690704,-0.6452622413635254,-0.13838355243206024,-0.6366370916366577,-0.14492662250995636,-0.6514327526092529,-0.1699385643005371,-0.6846650242805481,-0.20848874747753143,-0.730876624584198,-0.25555843114852905,-0.7827817797660828,-0.30487582087516785,-0.8316495418548584,-0.34905338287353516,-0.8702908158302307,-0.381990522146225,-0.8960617780685425,-0.40146759152412415,-0.9109195470809937,-0.40931692719459534,-0.918675422668457,-0.40912824869155884,-0.9222092628479004,-0.4037892520427704,-0.9227830767631531,-0.3947819471359253,-0.9211767911911011,-0.3831319808959961,-0.918923020362854,-0.37056341767311096
6,-0.9622477889060974,-0.3445301353931427,-0.8488269448280334,-0.26359450817108154,-0.7539998292922974,-0.19805502891540527,-0.686485230922699,-0.15564891695976257,-0.6493555903434753,-0.1388634741306305,-0.640477180480957,-0.14532490074634552,-0.6551811099052429,-0.17028671503067017,-0.6884378790855408,-0.2088051736354828,-0.7346870303153992,-0.25582462549209595,-0.7865206599235535,-0.30502966046333313,-0.835135817527771,-0.34901314973831177,-0.8733676075935364,-0.38169851899147034,-0.8986651301383972,-0.40091970562934875,-0.9130800366401672,-0.40855926275253296,-0.9204832911491394,-0.408235639333725,-0.9237815737724304,-0.40284463763237,-0.924234926700592,-0.3938581049442291,-0.9225897192955017,-0.38227495551109314,-0.9203267097473145,-0.3697849214076996,-0.9196851253509521,-0.3588673770427704
7,-0.8548197746276855,-0.2644805610179901,-0.7593156695365906,-0.19883368909358978,-0.6912696361541748,-0.15632574260234833,-0.6537304520606995,-0.13944049179553986,-0.6445530652999878,-0.1458079069852829,-0.659085214138031,-0.17069444060325623,-0.6923087239265442,-0.20916570723056793,-0.7386205792427063,-0.2561540901660919,-0.7905030250549316,-0.30530664324760437,-0.8390251994132996,-0.3491721749305725,-0.876960277557373,-0.38165730237960815,-0.9018031358718872,-0.40062397718429565,-0.9157134294509888,-0.4080089032649994,-0.9226573705673218,-0.4074784517288208,-0.9255952835083008,-0.4019550681114197,-0.9258092641830444,-0.3929179310798645,-0.9240413904190063,-0.38135573267936707,-0.9217389822006226,-0.36893147230148315,-0.9210894107818604,-0.35809090733528137,-0.9237760305404663,-0.35091400146484375
8,-0.7649107575416565,-0.19967925548553467,-0.6963189244270325,-0.15707945823669434,-0.6583817005157471,-0.1401081681251526,-0.6489093899726868,-0.1463884860277176,-0.6632289886474609,-0.17118869721889496,-0.6963410377502441,-0.2095879316329956,-0.7426577210426331,-0.25652971863746643,-0.7946160435676575,-0.3056497573852539,-0.8431698679924011,-0.3494587540626526,-0.8809699416160583,-0.3818201720714569,-0.9054683446884155,-0.4005822539329529,-0.91888827085495,-0.40771180391311646,-0.9253076910972595,-0.40692847967147827,-0.9277766346931458,-0.40120065212249756,-0.927625298500061,-0.3920331299304962,-0.9256154894828796,-0.38042116165161133,-0.9231899380683899,-0.36801716685295105,-0.9225022792816162,-0.35724058747291565,-0.9251834154129028,-0.35013890266418457,-0.930851936340332,-0.3468885123729706
9,-0.7016341090202332,-0.1578989177942276,-0.6632912158966064,-0.1408521831035614,-0.6535409688949585,-0.1470600813627243,-0.6676575541496277,-0.17178229987621307,-0.7006208300590515,-0.21009944379329681,-0.746863842010498,-0.2569696009159088,-0.7988386154174805,-0.3060411512851715,-0.8474521636962891,-0.3498140573501587,-0.8852442502975464,-0.38211384415626526,-0.9095600247383118,-0.4007473289966583,-0.9225970506668091,-0.4076698422431946,-0.928503155708313,-0.40663158893585205,-0.9304359555244446,-0.40065285563468933,-0.9298095107078552,-0.39128315448760986,-0.9274312853813171,-0.37954235076904297,-0.9247632026672363,-0.36708858609199524,-0.9239538908004761,-0.35633060336112976,-0.9265995025634766,-0.34929072856903076,-0.9322646260261536,-0.3461140990257263,-0.9379774332046509,-0.3444497883319855
10,-0.6684596538543701,-0.14166149497032166,-0.6584299802780151,-0.1478082686662674,-0.6723653674125671,-0.17246824502944946,-0.7051939368247986,-0.21071302890777588,-0.7513280510902405,-0.25750213861465454,-0.8032387495040894,-0.30649951100349426,-0.8518497943878174,-0.3502195179462433,-0.8896617293357849,-0.38247817754745483,-0.9139227271080017,-0.4010451138019562,-0.9267379641532898,-0.4078357517719269,-0.9322364926338196,-0.40658965706825256,-0.933642566204071,-0.400357186794281,-0.9324724078178406,-0.39073875546455383,-0.9296152591705322,-0.3787979185581207,-0.9265780448913574,-0.36621615290641785,-0.9255278706550598,-0.3554072678089142,-0.9280546307563782,-0.34838366508483887,-0.933686375617981,-0.34526702761650085,-0.9393954873085022,-0.34367579221725464,-0.9405148029327393,-0.3395167291164398
11,-0.6635767817497253,-0.14862191677093506,-0.6773343682289124,-0.17323161661624908,-0.7100544571876526,-0.211420938372612,-0.7560972571372986,-0.25814005732536316,-0.8079086542129517,-0.30705398321151733,-0.8564329147338867,-0.35069432854652405,-0.8941991925239563,-0.38289403915405273,-0.918432354927063,-0.4014146625995636,-0.9311537146568298,-0.4081351161003113,-0.9364051222801208,-0.4067554473876953,-0.9373890161514282,-0.40031546354293823,-0.9356834292411804,-0.3904450237751007,-0.9322778582572937,-0.3782578706741333,-0.9287607669830322,-0.36547768115997314,-0.9273436069488525,-0.35454046726226807,-0.9296326637268066,-0.3474639058113098,-0.9351476430892944,-0.34436142444610596,-0.940822958946228,-0.3428293466567993,-0.9419347643852234,-0.3387435972690582,-0.9337918758392334,-0.32790541648864746
