edge_id,global_i,global_j,block_i,block_j,index_i,index_j,cell_i,cell_j,d_Cplus,d_Q,original_obstruction,split_i,split_j,retained_after_split,post_split_obstruction
0,570.0,1192.0,1.0,2.0,574.0,519.0,3.0,3.0,0.356535404920578,0.6853097081184387,False,0,0,True,False
1,571.0,1191.0,1.0,2.0,575.0,518.0,3.0,3.0,0.3542114794254303,0.6895726919174193,False,0,0,True,False
2,571.0,1192.0,1.0,2.0,575.0,519.0,3.0,3.0,0.34290897846221924,0.6951518058776855,False,0,0,True,False
3,571.0,1193.0,1.0,2.0,575.0,520.0,3.0,3.0,0.3484445512294769,0.6996884346008301,False,0,0,True,False
4,572.0,1192.0,1.0,2.0,576.0,519.0,3.0,3.0,0.34543168544769287,0.7046305537223816,False,0,0,True,False
5,572.0,1193.0,1.0,2.0,576.0,520.0,3.0,3.0,0.34777694940567017,0.7092942595481873,False,0,0,True,False
6,572.0,1194.0,1.0,2.0,576.0,521.0,3.0,3.0,0.35882139205932617,0.7139196395874025,False,0,0,True,False
7,575.0,1200.0,1.0,2.0,579.0,527.0,3.0,3.0,0.3581148684024811,0.7904980778694154,False,0,0,True,False
8,677.0,1076.0,2.0,2.0,4.0,403.0,3.0,3.0,0.34043940901756287,1.249151587486267,True,1,0,False,False
9,677.0,1077.0,2.0,2.0,4.0,404.0,3.0,3.0,0.32811060547828674,1.247043490409851,True,1,0,False,False
10,677.0,1078.0,2.0,2.0,4.0,405.0,3.0,3.0,0.3260815441608429,1.245335578918457,True,1,0,False,False
11,677.0,1079.0,2.0,2.0,4.0,406.0,3.0,3.0,0.3338184952735901,1.2453852891921997,True,1,0,False,False
12,677.0,1080.0,2.0,2.0,4.0,407.0,3.0,3.0,0.3487600088119507,1.2474570274353027,True,1,0,False,False
13,678.0,1063.0,2.0,2.0,5.0,390.0,3.0,3.0,0.3532811105251312,1.0025893449783323,False,1,0,False,False
14,678.0,1075.0,2.0,2.0,5.0,402.0,3.0,3.0,0.35344985127449036,1.2341518402099607,True,1,0,False,False
15,678.0,1076.0,2.0,2.0,5.0,403.0,3.0,3.0,0.3346029222011566,1.2334325313568115,True,1,0,False,False
16,678.0,1077.0,2.0,2.0,5.0,404.0,3.0,3.0,0.32373809814453125,1.2314823865890503,True,1,0,False,False
